,First_pokemon,Second_pokemon,Winner,win_class
0,Galvantula,Eelektrik,Eelektrik,Physical
1,Cherrim,Corvisquire,Cherrim,Physical
2,Pansear,Sliggoo,Sliggoo,Physical
3,Mega Beedrill,Shelgon,Shelgon,Physical
4,Tangela,Qwilfish,Qwilfish,Physical
5,Vileplume,Fletchinder,Vileplume,Physical
6,Hawlucha,Kingdra,Kingdra,Physical
7,Sneasel,Frosmoth,Frosmoth,Special
8,Magearna,Lombre,Magearna,Special
9,Huntail,Chinchou,Chinchou,Physical
10,Krookodile,Metang,Krookodile,Special
11,Miltank,Yamper,Miltank,Physical
12,Empoleon,Sewaddle,Empoleon,Physical
13,Alolan Rattata,Boldore,Boldore,Physical
14,Mega Banette,Hippowdon,Hippowdon,Physical
15,Drednaw,Registeel,Drednaw,Physical
16,Mega Houndoom,Silicobra,Mega Houndoom,Physical
17,Shuppet,Shellos,Shellos,Special
18,Alolan Vulpix,Alolan Rattata,Alolan Rattata,Physical
19,Amaura,Dragonite,Dragonite,Physical
20,Carkol,Heat Rotom,Carkol,Physical
21,Alolan Vulpix,Regice,Regice,Physical
22,Snorunt,Alolan Persian,Snorunt,Physical
23,Purrloin,Arceus,Arceus,Physical
24,Golisopod,Morelull,Golisopod,Special
25,Electabuzz,Pyroar,Pyroar,Physical
26,Spinda,Wartortle,Spinda,Physical
27,Starmie,Yveltal,Yveltal,Special
28,Bewear,Cubchoo,Bewear,Physical
29,Venusaur,Steelix,Steelix,Physical
30,Kakuna,Cryogonal,Kakuna,Physical
31,Vigoroth,Lilligant,Lilligant,Special
32,Delphox,Dustox,Delphox,Special
33,Relicanth,Bulbasaur,Bulbasaur,Special
34,Cleffa,Mareep,Mareep,Physical
35,Bruxish,Hoppip,Bruxish,Physical
36,Koffing,Castform,Castform,Special
37,Cufant,Heatran,Heatran,Physical
38,Hippopotas,Swinub,Swinub,Physical
39,Zoroark,Stunky,Zoroark,Physical
40,Pangoro,Tyranitar,Tyranitar,Physical
41,Whismur,Slakoth,Slakoth,Physical
42,Phione,Vanillish,Vanillish,Special
43,Snover,Barraskewda,Barraskewda,Special
44,Scrafty,Chandelure,Scrafty,Physical
45,Uxie,Lombre,Lombre,Physical
46,Dewott,Xurkitree,Xurkitree,Special
47,Diancie,Wooper,Diancie,Physical
48,Petilil,Sylveon,Sylveon,Physical
49,Claydol,Mega Scizor,Claydol,Physical
50,Mega Heracross,Exploud,Mega Heracross,Special
51,Charjabug,Mewtwo,Mewtwo,Special
52,Manectric,Tauros,Tauros,Physical
53,Cufant,Salazzle,Salazzle,Physical
54,Mega Absol,Diggersby,Mega Absol,Physical
55,Frillish,Drednaw,Drednaw,Physical
56,Frost Rotom,Magearna,Frost Rotom,Special
57,Pachirisu,Bonsly,Pachirisu,Physical
58,Spinarak,Impidimp,Impidimp,Physical
59,Duskull,Ralts,Ralts,Special
60,Chikorita,Leavanny,Leavanny,Physical
61,Alomomola,Ledyba,Alomomola,Special
62,Omastar,Ekans,Omastar,Physical
63,Duskull,Chewtle,Chewtle,Physical
64,Furret,Dhelmise,Furret,Physical
65,Snom,Wooper,Wooper,Physical
66,Chimecho,Psyduck,Chimecho,Special
67,Walrein,Lumineon,Walrein,Physical
68,Musharna,Misdreavus,Misdreavus,Special
69,Greedent,Gliscor,Greedent,Physical
70,Fan Rotom,Indeedee Male,Fan Rotom,Special
71,Hitmonchan,Emboar,Hitmonchan,Physical
72,Scizor,Blacephalon,Scizor,Special
73,Nidorina,Gengar,Gengar,Physical
74,Clamperl,Mega Sableye,Clamperl,Physical
75,Swadloon,Arceus,Arceus,Physical
76,Purugly,Electrode,Purugly,Physical
77,Chinchou,Dustox,Dustox,Special
78,Bonsly,Magcargo,Magcargo,Special
79,Meowstic Male,Jirachi,Jirachi,Special
80,Metapod,Murkrow,Murkrow,Physical
81,Mega Altaria,Crobat,Mega Altaria,Special
82,Vanillite,Vullaby,Vullaby,Physical
83,Vivillon,Corviknight,Corviknight,Physical
84,Gastrodon,Goomy,Gastrodon,Special
85,Gothitelle,Shieldon,Gothitelle,Special
86,Regidrago,Solosis,Regidrago,Special
87,Eelektross,Braixen,Eelektross,Physical
88,Dewgong,Mesprit,Mesprit,Physical
89,Nickit,Shelgon,Shelgon,Physical
90,Exploud,Rillaboom,Rillaboom,Physical
91,Beedrill,Pelipper,Beedrill,Physical
92,Arbok,Mega Mewtwo X,Arbok,Physical
93,Carkol,Haunter,Carkol,Physical
94,Mega Scizor,Mega Blaziken,Mega Blaziken,Physical
95,Arcanine,Blitzle,Arcanine,Physical
96,Frosmoth,Victini,Victini,Physical
97,Blaziken,Tirtouga,Blaziken,Physical
98,Klefki,Servine,Klefki,Special
99,Regirock,Mega Manectric,Regirock,Physical
100,Tentacool,Garchomp,Garchomp,Physical
101,Chandelure,Machamp,Machamp,Physical
102,Jellicent,Silvally,Jellicent,Special
103,Alolan Geodude,Dewott,Dewott,Physical
104,Oranguru,Onix,Oranguru,Special
105,Solgaleo,Kingdra,Solgaleo,Physical
106,Barboach,Slowpoke,Slowpoke,Special
