,First_pokemon,Second_pokemon,Winner
0,Larvitar,Nuzleaf,Nuzleaf
1,Virizion,Terrakion,Terrakion
2,Togetic,Beheeyem,Beheeyem
3,Slugma,Druddigon,Druddigon
4,Omastar,Shuckle,Omastar
5,Joltik,Aegislash Shield Form,Joltik
6,Natu,Jynx,Jynx
7,Machop,Giratina Altered Form,Giratina Altered Form
8,Pineco,Clauncher,Clauncher
9,Wingull,Pikachu,Pikachu
10,Starly,Staryu,Staryu
11,Terrakion,Yamask,Terrakion
12,Metapod,Swampert,Swampert
13,Omastar,Slowbro,Omastar
14,Mega Tyranitar,Mothim,Mega Tyranitar
15,Clauncher,Kricketune,Kricketune
16,Lapras,Raikou,Raikou
17,Swablu,Piloswine,Piloswine
18,Mega Lucario,Carbink,Mega Lucario
19,Samurott,Musharna,Samurott
20,Prinplup,Bisharp,Bisharp
21,Whiscash,Empoleon,Empoleon
22,Frillish,Chandelure,Chandelure
23,Rhydon,Mega Camerupt,Rhydon
24,Petilil,Emolga,Emolga
25,Lugia,Zekrom,Lugia
26,Wormadam Sandy Cloak,Stoutland,Stoutland
27,Tirtouga,Tyrunt,Tyrunt
28,Tauros,Luxray,Tauros
29,Durant,Meowstic Male,Durant
30,Rampardos,Manaphy,Manaphy
31,Ledian,Swellow,Swellow
32,Sunflora,Crobat,Crobat
33,Fan Rotom,Swablu,Fan Rotom
34,Magby,Armaldo,Armaldo
35,Gastrodon,Mega Tyranitar,Mega Tyranitar
36,Scraggy,Zigzagoon,Zigzagoon
37,Luvdisc,Jynx,Luvdisc
38,Mega Audino,Drapion,Drapion
39,Patrat,Remoraid,Remoraid
40,Pidove,Remoraid,Remoraid
41,Azumarill,Chespin,Azumarill
42,Baltoy,Electabuzz,Baltoy
43,Bellsprout,Empoleon,Empoleon
44,Elgyem,Vanillish,Vanillish
45,Buneary,Sealeo,Buneary
46,Venusaur,Pyroar,Pyroar
47,Torterra,Jigglypuff,Torterra
48,Shuckle,Vaporeon,Vaporeon
49,Snover,Keldeo Resolute Form,Keldeo Resolute Form
50,Shieldon,Magby,Magby
51,Mega Mewtwo X,Aegislash Blade Form,Aegislash Blade Form
52,Groudon,Aromatisse,Groudon
53,Smoochum,Phantump,Smoochum
54,Trapinch,Sunflora,Sunflora
55,Braixen,Vanilluxe,Vanilluxe
56,Castform,Heat Rotom,Heat Rotom
57,Spewpa,Fraxure,Fraxure
58,Gyarados,Chesnaught,Gyarados
59,Delibird,Skiddo,Delibird
60,Mantyke,Unown,Mantyke
61,Zoroark,Ninetales,Zoroark
62,Conkeldurr,Chespin,Conkeldurr
63,Scolipede,Nidoking,Scolipede
64,Zangoose,Seismitoad,Zangoose
65,Espurr,Roggenrola,Espurr
66,Mega Sharpedo,Pichu,Mega Sharpedo
67,Pelipper,Bellossom,Pelipper
68,Meganium,Terrakion,Terrakion
69,Purrloin,Hitmonlee,Hitmonlee
70,Shuckle,Typhlosion,Typhlosion
71,Alakazam,Prinplup,Alakazam
72,Ferroseed,Lilligant,Lilligant
73,Liepard,Serperior,Serperior
74,Black Kyurem,Nidoking,Black Kyurem
75,Luxray,Wailord,Luxray
76,Klink,Dewgong,Dewgong
77,Azelf,Mega Venusaur,Azelf
78,Staryu,Loudred,Staryu
79,Mega Kangaskhan,Latias,Latias
80,Masquerain,Mega Sceptile,Mega Sceptile
81,Pidove,Sandile,Sandile
82,Meloetta Aria Form,Tentacruel,Tentacruel
83,Chingling,Frost Rotom,Frost Rotom
84,Baltoy,Nidoqueen,Nidoqueen
85,Charmeleon,Mega Sableye,Mega Sableye
86,Volbeat,Moltres,Moltres
87,Mantyke,Simisear,Simisear
88,Giratina Origin Form,Dusknoir,Giratina Origin Form
89,Bronzong,Scizor,Scizor
90,Pawniard,Umbreon,Umbreon
91,Ralts,Shuppet,Shuppet
92,Magnezone,Talonflame,Talonflame
93,Dragonair,Inkay,Dragonair
94,Omanyte,Suicune,Suicune
95,Chimchar,Terrakion,Terrakion
96,Forretress,Suicune,Suicune
97,Chimchar,Leavanny,Leavanny
98,Remoraid,Swablu,Remoraid
99,Noivern,Phanpy,Noivern
100,Cottonee,Lombre,Cottonee
101,Piplup,Yanma,Yanma
102,Joltik,Trapinch,Joltik
103,Chimchar,Nidoking,Nidoking
104,Skitty,Shelgon,Shelgon
105,Ambipom,Magnemite,Ambipom
106,Alakazam,Goodra,Alakazam
107,Zubat,Darumaka,Zubat
108,Charmander,Lampent,Charmander
109,Xerneas,Slaking,Slaking
110,Flaaffy,Wormadam Trash Cloak,Flaaffy
111,Gabite,Stoutland,Gabite
112,Sealeo,Plusle,Plusle
113,Primeape,Seedot,Primeape
114,Dialga,Bibarel,Dialga
115,Gyarados,Kabuto,Gyarados
116,Venonat,Hitmonlee,Hitmonlee
117,Lileep,Dragonair,Dragonair
118,Steelix,Ninjask,Ninjask
119,Breloom,Mega Glalie,Mega Glalie
120,Nuzleaf,Nidoran♀,Nuzleaf
121,Torkoal,Mr. Mime,Torkoal
122,Mega Gengar,Lunatone,Mega Gengar
123,Drapion,Roserade,Drapion
124,Sawk,Seismitoad,Sawk
125,Bidoof,Jigglypuff,Bidoof
126,Trapinch,Phione,Phione
127,Pelipper,Scyther,Scyther
128,Vileplume,Aron,Vileplume
129,Quilava,Pignite,Quilava
130,Malamar,Seaking,Malamar
131,Charmeleon,Smeargle,Charmeleon
132,Larvesta,Aerodactyl,Aerodactyl
133,Doduo,Spiritomb,Spiritomb
134,Armaldo,Machop,Armaldo
135,Camerupt,Ho-oh,Ho-oh
136,Girafarig,Oddish,Girafarig
137,Litleo,Delibird,Delibird
138,Druddigon,Mantine,Mantine
139,Heat Rotom,Budew,Heat Rotom
140,Azumarill,Swoobat,Swoobat
141,Huntail,Gothita,Huntail
142,Diglett,Oshawott,Oshawott
143,Venonat,Weezing,Weezing
144,Archeops,Gyarados,Archeops
145,Cresselia,Phantump,Cresselia
146,Anorith,Cresselia,Cresselia
147,Bagon,Mega Gardevoir,Mega Gardevoir
148,Kabutops,Pignite,Kabutops
149,Gardevoir,Tyranitar,Gardevoir
150,Magnemite,Feebas,Magnemite
151,Venonat,Raichu,Raichu
152,Typhlosion,Furfrou,Furfrou
153,Butterfree,Electrode,Electrode
154,Mow Rotom,Spewpa,Mow Rotom
155,Combusken,Seel,Combusken
156,Minun,Swanna,Swanna
157,Torterra,Mega Mewtwo Y,Mega Mewtwo Y
158,Gothitelle,Vullaby,Vullaby
159,Spewpa,Genesect,Genesect
160,Nuzleaf,Pumpkaboo Average Size,Nuzleaf
161,Clefable,Cubone,Clefable
162,Muk,Ninjask,Muk
163,Regice,Glalie,Glalie
164,Stunky,Sealeo,Stunky
165,Sceptile,Mega Aerodactyl,Mega Aerodactyl
166,Aerodactyl,Wormadam Trash Cloak,Aerodactyl
167,Masquerain,Mega Venusaur,Mega Venusaur
168,Mesprit,Arbok,Arbok
169,Giratina Altered Form,Larvitar,Giratina Altered Form
170,Swampert,Mega Manectric,Mega Manectric
171,Heracross,Stantler,Stantler
172,Castform,Mega Rayquaza,Mega Rayquaza
173,Dragonair,Pumpkaboo Average Size,Dragonair
174,Munchlax,Latios,Munchlax
175,Tyranitar,Moltres,Moltres
176,Drifloon,Timburr,Drifloon
177,Darkrai,Buneary,Darkrai
178,Marill,Gourgeist Average Size,Gourgeist Average Size
179,Kecleon,Talonflame,Talonflame
180,Mime Jr.,Ampharos,Mime Jr.
181,Arbok,Woobat,Arbok
182,Nidorina,Garchomp,Garchomp
183,Weavile,Crobat,Crobat
184,Seaking,Hypno,Seaking
185,Charmeleon,Venipede,Charmeleon
186,Pinsir,Nincada,Pinsir
187,Golem,Mantyke,Mantyke
188,Boldore,Wash Rotom,Boldore
189,Pancham,Dugtrio,Dugtrio
190,Pineco,Braixen,Braixen
191,Clawitzer,Eelektrik,Clawitzer
192,Zekrom,Piplup,Zekrom
193,Fearow,Giratina Altered Form,Giratina Altered Form
194,Pidgeot,Diancie,Pidgeot
195,Larvesta,Jolteon,Jolteon
196,Gardevoir,Cinccino,Cinccino
197,Zapdos,Eelektross,Zapdos
198,Venomoth,Doublade,Doublade
199,Weavile,Piplup,Weavile
200,Amaura,Entei,Entei
201,Heracross,Mega Lucario,Mega Lucario
202,Pidgeot,Sigilyph,Pidgeot
203,Muk,Kingdra,Kingdra
204,Nosepass,Regigigas,Regigigas
205,Tangrowth,Squirtle,Tangrowth
206,Gigalith,Wormadam Trash Cloak,Wormadam Trash Cloak
207,Phantump,Sharpedo,Sharpedo
208,Litwick,Snubbull,Snubbull
209,Sigilyph,Parasect,Sigilyph
210,Uxie,Genesect,Genesect
211,Infernape,Remoraid,Infernape
212,Glaceon,Binacle,Glaceon
213,Caterpie,Mega Gengar,Mega Gengar
214,Lileep,Kabuto,Kabuto
215,Mismagius,Vibrava,Mismagius
216,Pinsir,Larvesta,Pinsir
217,Camerupt,Floette,Floette
218,Mega Heracross,Golett,Golett
219,Beautifly,Whirlipede,Beautifly
220,Grimer,Entei,Entei
221,Fletchling,Pinsir,Pinsir
222,Seaking,Pangoro,Seaking
223,Basculin White-Striped Form,Krabby,Basculin White-Striped Form
224,Meowth,Emboar,Emboar
225,Galvantula,Vaporeon,Galvantula
226,Cofagrigus,Spritzee,Cofagrigus
227,Gliscor,Spearow,Gliscor
228,Yveltal,Drifblim,Yveltal
229,Swablu,Tropius,Tropius
230,Mega Audino,Boldore,Mega Audino
